reference_id,sections,authors,year,title,source,url
[Akram-2024],13,"Akram, B. et al.",2024,Evaluation-Driven Development of LLM Agents: A Process Model and Reference Architecture,arXiv,https://arxiv.org/html/2411.13768v2
[Akshathala-2025],"27,30","Akshathala, P. et al.",2025,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,arXiv,https://arxiv.org/abs/2512.12791
[AgentHarm-2025],"1,3,18,25,G","Various",2025,AgentHarm: A Benchmark for Safety Evaluation of LLM Agents,ICLR,https://arxiv.org/pdf/2410.09024
[AgentAuditor-2025],"12,25,G","Various",2025,AgentAuditor: Human-Level Safety and Security Evaluation for LLM Agents,arXiv/NeurIPS,https://arxiv.org/abs/2506.00641
[AIMultiple-2025-observability],10,AIMultiple,2025,15 AI Agent Observability Tools: AgentOps Langfuse & Arize,AIMultiple,https://research.aimultiple.com/agentic-monitoring/
[AIMultiple-2026-deploy],21,AIMultiple,2026,AI Agent Deployment: Steps and Challenges in 2026,AIMultiple,https://research.aimultiple.com/agent-deployment/
[AIMultiple-2026-orchestration],17,AIMultiple,2026,Compare Top 12 LLM Orchestration Frameworks in 2026,AIMultiple,https://research.aimultiple.com/llm-orchestration/
[AIMultiple-2026-xai],29,AIMultiple,2026,Explainable AI (XAI) in 2026: Guide to enterprise-ready AI,AIMultiple,https://research.aimultiple.com/xai/
[Airia-2026],3,Airia,2026,AI Security in 2026: Prompt Injection the Lethal Trifecta and How to Defend,Airia,https://airia.com/ai-security-in-2026-prompt-injection-the-lethal-trifecta-and-how-to-defend/
[Alphamatch-2026],17,Alphamatch,2026,Top 7 Agentic AI Frameworks in 2026,Alphamatch,https://www.alphamatch.ai/blog/top-agentic-ai-frameworks-2026
[Amplework-2025],21,Amplework,2025,Build Feedback Loops in Agentic AI for Digital Growth,Amplework,https://www.amplework.com/blog/build-feedback-loops-agentic-ai-continuous-transformation/
[AnalyticsVidhya-2024],2,Analytics Vidhya,2024,Top 10 AI Agent Trends and Predictions for 2025,Analytics Vidhya,https://www.analyticsvidhya.com/blog/2024/12/ai-agent-trends/
[Anthropic-2026],19,Anthropic,2026,How enterprises are building AI agents in 2026,Claude Blog,https://claude.com/blog/how-enterprises-are-building-ai-agents-in-2026
[Arcade-2026],"1,3,12,22",Arcade.dev,2026,State of AI Agents 2026: 5 Trends Shaping Enterprise Adoption,Arcade.dev,https://blog.arcade.dev/5-takeaways-2026-state-of-ai-agents-claude
[Ardor-2025],21,Ardor,2025,7 Best Practices for Deploying AI Agents in Production,Ardor,https://ardor.cloud/blog/7-best-practices-for-deploying-ai-agents-in-production
[ArizeAI-2025-judge],"22,23",Arize AI,2025,LLM-as-a-Judge: The Complete Guide,Arize AI,https://arize.com/llm-as-a-judge/
[ArizeAI-2025-phoenix],"9,14,15",Arize AI,2025,Phoenix: AI Observability & Evaluation,GitHub,https://github.com/Arize-ai/phoenix
[ArizeAI-2025-foundry],16,Arize AI,2025,Evaluating and Improving AI Agents at Scale with Microsoft Foundry,Arize AI,https://arize.com/blog/evaluating-and-improving-ai-agents-at-scale-with-microsoft-foundry/
[ArizeAI-2025-openinference],15,Arize AI,2025,OpenInference,GitHub,https://github.com/Arize-ai/openinference
[AWS-2025-guardrails],16,AWS,2025,Implement Safeguards for Your Application with Guardrails,AWS Docs,https://docs.aws.amazon.com/bedrock/latest/userguide/agents-guardrail.html
[AWS-2026-guardrails],16,AWS,2026,Amazon Bedrock Guardrails,AWS,https://aws.amazon.com/bedrock/guardrails/
[AWS-2025-bedrock-arize],14,AWS,2025,Amazon Bedrock Agents Observability Using Arize AI,AWS Blog,https://aws.amazon.com/blogs/machine-learning/amazon-bedrock-agents-observability-using-arize-ai/
[AWS-2025-cache],20,AWS,2025,Lower cost and latency for AI using Amazon ElastiCache as a semantic cache,AWS Blog,https://aws.amazon.com/blogs/database/lower-cost-and-latency-for-ai-using-amazon-elasticache-as-a-semantic-cache-with-amazon-bedrock/
[AWS-2026-dashboard],10,AWS,2026,AI Agent performance dashboard - Amazon Connect,AWS Docs,https://docs.aws.amazon.com/connect/latest/adminguide/ai-agent-performance-dashboard.html
[AzureAI-2025-evaluate],"13,16,C",Microsoft,2025,Agent Evaluation with the Microsoft Foundry SDK,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/develop/agent-evaluate-sdk
[AzureAI-2025-metrics],16,Microsoft,2025,Unlocking the Power of Agentic Applications: New Evaluation Metrics,Microsoft DevBlogs,https://devblogs.microsoft.com/foundry/evaluation-metrics-azure-ai-foundry/
[AzureAI-2025-continuous],16,Microsoft,2025,Continuously Evaluate Your AI Agents,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/continuous-evaluation-agents
[AzureAI-2026-trace],9,Microsoft,2026,Trace and Observe AI Agents in Microsoft Foundry,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/develop/trace-agents-sdk
[AzureAI-2026-dashboard],10,Microsoft,2026,Monitor AI Agents with Microsoft Foundry Dashboard,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/how-to-monitor-agents-dashboard
[Bain-2025],23,Bain & Company,2025,From Pilots to Payoff: Generative AI in Software Development,Bain Technology Report,https://www.bain.com/insights/from-pilots-to-payoff-generative-ai-in-software-development-technology-report-2025/
[Bhatia-2025-part1],"1,3","Bhatia, N.",2025,Part 1 — The Five Evaluation Gaps Killing Your Agentic AI in Production,Medium,https://medium.com/@nitikab23/the-five-evaluation-gaps-killing-your-agentic-ai-in-production-6796cae4a0a1
